step,run_0,run_1,run_2,run_3
10000,-65.93943219146433,-45.52258220707839,-47.17595587939679,-62.783887370007974
20000,-62.06951375250859,-60.49089134741208,-49.87013863972834,-57.036517543923445
30000,-59.72669688375069,-59.855134455763256,-49.8059522606393,-59.65174055074894
40000,-48.8216777444901,-48.180837499549575,-48.61341565180814,-48.73386784123648
50000,-47.66519731838248,-43.50050449462532,-47.40408704315436,-43.447364549180385
60000,-53.74425934393813,-54.11828881350452,-47.438486737668384,-58.56237180422167
70000,-47.87757477200377,-57.70044454287181,-42.70607739780044,-43.25947176639437
80000,-53.637882593095526,-54.41550445570181,-42.49727486643775,-72.95206932756133
90000,-42.406053126980375,-48.015765481681605,-53.57269900813537,-47.52979448939096
100000,-42.385609457690414,-48.01623389502935,-42.42079490854994,-47.7205416800428
110000,-42.5442504501918,-47.96583174249109,-42.491550278052415,-44.22243101761833
120000,-42.738765101952325,-43.641118438157264,-53.73306437834599,-351.0753821443628
130000,-48.26950893345342,-57.86575651048029,-57.271582007849005,-57.28099942425485
140000,-48.20088953736485,-44.32368858144668,-47.63428211423195,-342.43670777149316
150000,-57.97711524477046,-54.8878752409231,-57.26300453990528,-57.39323214543844
160000,-48.15918922338879,-57.83005515722395,-47.40388673756611,-57.30531061911871
170000,-48.10480216970204,-57.84987524421984,-57.33049474296808,-63.671756282672675
180000,-54.23362654676548,-48.14289748168007,-57.28564808625159,-47.698067883409145
190000,-57.96913614032648,-45.65881944819483,-57.31720414460813,-65.55810918685165
200000,-57.89501600730164,-57.92853082286816,-43.41029269130793,-57.625914526164394
210000,-42.93480067569871,-45.65881944819483,-57.5400187858328,-47.82997539415913
220000,-53.370592645331406,-48.96467922713399,-55.989592123997205,-47.85880436376638
230000,-53.49236475923982,-58.808418116374256,-47.84741316509152,-44.19473731948468
240000,-53.38413535260253,-54.72397849806232,-42.497364879412935,-57.710464201056226
250000,-54.05117406616954,-58.80971499303311,-42.882398271864446,-44.43275600178151
260000,-48.2919034485987,-58.80937767748958,-47.75487021220615,-48.038921882411536
270000,-48.29160211046383,-44.65540333250952,-42.384545865877136,-57.6182375996001
280000,-48.26677675927604,-57.9724546266595,-57.60962963530185,-65.05783537763705
290000,-43.359611367645,-48.88704765870188,-57.58646890964827,-62.19678388226694
300000,-42.95999408914999,-48.88704765870188,-42.465957239902565,-62.969156457206424
310000,-43.23356665218506,-44.31335378876667,-47.86222350326994,-47.53470456936661
320000,-53.83207631395053,-48.88704765870188,-47.76731117414671,-57.580159961549974
330000,-48.886941472991495,-44.70930137775374,-57.54887158587024,-64.82586918810688
340000,-58.802117010482505,-57.94049881277533,-57.50261884797271,-47.574126517714674
350000,-57.906311284410464,-48.88704765870188,-57.48210988561956,-46.73498066866751
360000,-53.474512787536,-48.88704765870188,-57.447887798271225,-65.58694344822163
370000,-43.0408848995804,-48.96467922713399,-57.44589809807171,-47.64543936822061
380000,-57.97065632470479,-44.1594995160191,-42.4684823625114,-57.93381222438547
390000,-53.54822314190878,-44.33985417530913,-53.96401920287973,-57.681214351778145
400000,-57.8828545630327,-58.80205906045801,-53.8673039816482,-47.90136770659343
410000,-57.9025248306873,-54.2008660383051,-47.96068812526801,-64.87092948291138
420000,-48.88701632985611,-44.36716247738586,-47.96547383074765,-47.79666358074743
430000,-53.49812174548246,-44.41857527467087,-42.40211612999534,-47.408394626076934
440000,-48.96467922713399,-44.31965088568938,-53.77669954677764,-47.39723834802778
450000,-58.8051496973577,-48.96467922713399,-42.374701021633925,-45.575968331735574
460000,-43.26205691279354,-44.19225194467612,-42.53183263332019,-63.69530291453114
470000,-53.78063244301329,-48.96467922713399,-42.51313619358858,-57.59061995600659
480000,-57.890525797339365,-57.88890392435519,-57.577116921734174,-63.41978602161317
490000,-48.886887672464944,-48.88704765870188,-48.11359907912018,-46.452597976711665
