step,run_0,run_1,run_2,run_3
10000,False,False,False,False
20000,False,False,False,False
30000,False,False,False,False
40000,False,False,False,False
50000,False,False,False,False
60000,False,False,True,False
70000,False,False,False,False
80000,False,False,False,False
90000,True,False,False,True
100000,False,False,True,True
110000,False,False,True,False
120000,False,False,False,True
130000,True,True,False,True
140000,False,True,True,True
150000,True,False,False,True
160000,False,False,False,False
170000,True,True,False,True
180000,True,False,False,False
190000,False,False,True,False
200000,True,True,False,True
210000,False,False,True,True
220000,True,True,False,True
230000,False,True,False,False
240000,True,False,False,True
250000,True,True,True,True
260000,True,True,True,True
270000,False,False,True,True
280000,True,True,True,False
290000,True,True,True,True
300000,False,True,True,True
310000,True,True,True,True
320000,True,True,True,True
330000,False,False,False,True
340000,False,False,True,True
350000,True,True,False,True
360000,True,True,True,True
370000,True,True,True,True
380000,True,True,True,True
390000,True,True,True,True
400000,True,True,True,True
410000,False,True,True,True
420000,True,True,True,True
430000,True,True,True,True
440000,True,True,True,True
450000,True,True,True,True
460000,True,False,True,True
470000,True,True,True,True
480000,True,True,True,True
490000,True,True,True,True
