step,run_0,run_1,run_2,run_3,run_4
10000,True,False,True,True,True
20000,True,True,False,True,True
30000,True,True,False,True,True
40000,False,True,False,True,True
50000,True,True,True,False,True
60000,True,True,False,True,True
70000,True,True,True,True,True
80000,True,True,True,True,False
90000,True,True,True,True,True
100000,True,True,True,True,True
110000,True,True,True,True,True
120000,True,True,True,True,True
130000,True,True,False,True,True
140000,False,True,True,True,True
150000,True,True,False,True,True
160000,True,True,True,True,False
170000,True,True,True,True,True
180000,True,True,True,True,True
190000,True,True,True,True,True
200000,True,True,True,True,True
210000,True,True,True,True,True
220000,True,True,True,True,True
230000,True,True,True,True,False
240000,True,True,True,True,True
250000,True,True,True,True,False
260000,True,True,True,True,True
270000,True,True,True,True,False
280000,True,True,False,True,True
290000,True,True,True,True,False
300000,True,True,True,True,True
310000,True,True,True,True,True
320000,True,True,True,True,True
330000,True,True,True,True,True
340000,True,True,True,True,True
350000,True,True,True,True,True
360000,True,True,True,True,True
370000,True,True,True,True,True
380000,True,True,True,True,False
390000,True,True,True,True,True
400000,True,True,True,True,False
410000,True,True,True,True,False
420000,True,True,True,True,True
430000,True,True,False,True,True
440000,True,True,True,True,False
450000,True,True,True,True,True
460000,True,True,True,True,True
470000,True,True,True,True,True
480000,True,True,True,True,True
490000,True,True,True,True,True
500000,True,True,True,True,True
510000,True,True,True,True,True
520000,True,True,True,True,False
530000,True,True,True,True,True
540000,True,True,True,True,True
550000,True,True,True,True,True
560000,True,True,True,True,True
570000,True,True,True,False,True
580000,True,True,True,True,True
590000,True,True,True,True,True
600000,True,True,True,True,True
610000,True,True,True,True,True
620000,True,True,True,True,False
630000,True,True,True,True,True
640000,True,True,True,True,True
650000,True,True,True,True,True
660000,True,True,True,True,True
670000,True,True,True,True,True
680000,True,True,True,True,True
690000,True,False,True,True,True
700000,True,True,True,True,True
710000,True,True,True,True,True
720000,True,True,True,True,True
730000,False,True,True,True,True
740000,True,True,True,True,True
750000,False,True,True,True,False
760000,True,True,True,True,False
770000,True,True,True,True,False
780000,False,True,True,True,True
790000,True,True,False,True,True
800000,True,True,True,True,True
810000,True,True,True,True,True
820000,True,True,True,True,True
830000,True,True,True,True,True
840000,True,True,True,True,True
850000,False,True,True,True,True
860000,True,True,True,True,True
870000,True,True,True,True,False
880000,True,True,True,True,False
890000,True,True,True,True,True
900000,True,True,True,True,False
910000,False,True,False,True,True
920000,False,True,True,True,False
930000,True,True,True,True,True
940000,True,True,True,True,True
950000,True,True,False,True,True
960000,True,True,True,True,False
970000,True,True,True,True,True
980000,False,True,True,True,False
990000,True,True,True,True,True
1000000,True,True,False,True,False
1010000,True,True,True,True,True
1020000,True,True,True,True,True
1030000,False,True,False,True,True
1040000,False,False,False,False,True
1050000,True,True,True,True,False
1060000,True,True,True,True,True
1070000,False,False,True,True,True
1080000,False,False,False,False,True
1090000,True,False,True,True,True
1100000,True,False,False,True,True
1110000,False,False,True,False,False
1120000,False,False,True,False,False
1130000,False,False,False,False,True
1140000,False,False,True,False,True
1150000,False,False,False,False,True
1160000,False,True,False,True,True
1170000,False,True,False,False,True
1180000,True,False,False,True,True
1190000,False,True,True,True,True
1200000,True,False,False,False,False
1210000,False,False,True,False,False
1220000,False,False,True,False,True
1230000,False,False,True,False,False
1240000,True,False,True,False,False
1250000,True,False,True,False,False
1260000,True,False,True,False,True
1270000,False,False,True,False,True
1280000,False,False,True,True,False
1290000,False,False,False,True,False
1300000,False,False,False,True,True
1310000,False,False,True,False,False
1320000,False,False,True,True,False
1330000,False,False,True,True,True
1340000,False,False,True,True,False
1350000,False,False,True,False,False
1360000,False,False,False,False,False
1370000,False,False,False,True,True
1380000,False,False,True,True,False
1390000,False,True,True,True,False
1400000,False,False,True,True,False
1410000,True,False,True,False,False
1420000,False,False,True,False,False
1430000,False,False,True,False,False
1440000,True,False,True,False,True
1450000,False,False,True,True,True
1460000,False,False,True,False,False
1470000,False,False,True,False,False
1480000,False,True,False,False,False
1490000,False,False,True,True,False
1500000,False,False,False,False,False
1510000,False,False,True,True,True
1520000,False,True,False,False,False
1530000,False,True,True,False,True
1540000,False,True,True,False,True
1550000,False,True,True,True,True
1560000,False,True,True,False,False
1570000,False,False,False,False,True
1580000,False,True,True,True,True
1590000,True,True,True,True,True
1600000,True,True,True,False,True
1610000,True,False,True,True,False
1620000,False,True,True,True,True
1630000,False,True,True,True,True
1640000,True,True,True,False,False
1650000,False,True,True,True,True
1660000,True,True,True,True,False
1670000,False,True,True,True,True
1680000,True,True,True,True,True
1690000,False,True,True,True,False
1700000,True,True,True,True,False
1710000,True,True,True,True,True
1720000,True,True,True,True,False
1730000,False,True,True,True,False
1740000,True,True,False,True,False
1750000,False,True,True,True,True
1760000,True,True,True,True,True
1770000,True,True,True,True,True
1780000,True,True,True,True,True
1790000,True,True,True,True,False
1800000,True,True,True,True,True
1810000,True,True,True,True,False
1820000,True,True,True,True,False
1830000,True,True,True,True,True
1840000,True,True,True,True,True
1850000,True,True,True,True,False
1860000,True,True,True,True,False
1870000,True,True,False,True,True
1880000,True,True,True,True,True
1890000,True,True,True,True,True
1900000,True,True,True,True,True
1910000,True,True,True,True,True
1920000,False,True,True,True,True
1930000,True,True,True,True,True
1940000,False,True,True,True,True
1950000,True,True,True,True,True
1960000,False,True,True,True,True
1970000,True,True,True,True,True
1980000,True,True,True,True,True
1990000,False,True,True,True,True
