episode,run_0
0,True
1,True
2,True
3,True
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,True
12,True
13,True
14,True
15,True
16,True
17,True
18,True
19,True
20,True
21,True
22,True
23,True
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,True
33,True
34,True
35,True
36,True
37,True
38,True
39,True
40,True
41,True
42,True
43,True
44,True
45,True
46,True
47,True
48,True
49,True
50,True
51,True
52,True
53,True
54,True
55,True
56,True
57,False
58,True
59,True
60,True
61,True
62,True
63,True
64,True
65,True
66,True
67,True
68,True
69,True
70,True
71,True
72,True
73,True
74,True
75,True
76,True
77,True
78,False
79,True
80,True
81,True
82,True
83,True
84,True
85,True
86,True
87,False
88,True
89,True
90,True
91,True
92,True
93,True
94,True
95,True
96,True
97,True
98,True
99,True
100,False
101,False
102,True
103,True
104,False
105,True
106,False
107,True
108,True
109,False
110,True
111,False
112,True
113,True
114,True
115,True
116,True
117,True
118,True
119,True
120,True
121,True
122,True
123,False
124,False
125,False
126,False
127,True
128,True
129,True
130,True
131,True
132,True
133,True
134,True
135,True
136,True
137,True
138,True
139,True
140,False
141,True
142,True
143,True
144,True
145,True
146,True
147,False
148,True
149,False
150,True
151,False
152,False
153,True
154,True
155,True
156,True
157,True
158,True
159,True
160,True
161,True
162,True
163,False
164,True
165,False
166,False
167,False
168,False
169,True
170,True
171,True
172,True
173,False
174,False
175,True
176,False
177,False
178,False
179,True
180,False
181,True
182,False
183,True
184,True
185,True
186,True
187,False
188,False
189,False
190,False
191,False
192,True
193,True
194,True
195,False
196,True
197,False
198,False
199,True
200,False
201,True
202,False
203,False
204,False
205,False
206,False
207,False
208,False
209,True
210,False
211,True
212,True
213,False
214,True
215,True
216,True
217,True
218,True
219,False
220,True
221,True
222,False
223,False
224,False
225,True
226,True
227,True
228,False
229,False
230,False
231,False
232,False
233,False
234,False
235,False
236,True
237,False
238,False
239,True
240,True
241,True
242,True
243,True
244,False
245,True
246,False
247,False
248,False
249,False
250,False
251,False
252,False
253,False
254,False
255,False
256,False
257,False
258,False
259,False
260,True
261,True
262,False
263,False
264,False
265,False
266,False
267,False
268,False
269,False
270,True
271,False
272,False
273,True
274,False
275,False
276,True
277,False
278,False
279,False
280,False
281,False
282,False
283,False
284,False
285,True
286,True
287,True
288,True
289,True
290,True
291,True
292,False
293,True
294,False
295,False
296,False
297,False
298,False
299,False
300,False
301,True
302,True
303,False
304,False
305,False
306,False
307,False
308,False
309,True
310,False
311,False
312,False
313,False
314,False
315,True
316,True
317,False
318,False
319,False
320,False
321,False
322,True
323,True
324,False
325,False
326,False
327,False
328,False
329,False
330,False
331,False
332,False
333,False
334,False
335,True
336,False
337,False
338,True
339,False
340,False
341,False
342,False
343,False
344,False
345,True
346,False
347,False
348,False
349,False
350,True
351,True
352,False
353,False
354,True
355,False
356,False
357,False
358,False
359,True
360,False
361,False
362,False
363,False
364,False
365,False
366,False
367,True
368,False
369,False
370,False
371,False
372,False
373,True
374,True
375,False
376,False
377,False
378,False
379,True
380,False
381,False
382,False
383,False
384,False
385,False
386,False
387,False
388,False
389,False
390,False
391,False
392,False
393,False
394,False
395,True
396,True
397,False
398,False
399,False
400,False
401,False
402,False
403,False
404,False
405,False
406,False
407,False
408,False
409,False
410,False
411,False
412,False
413,False
414,False
415,False
416,False
417,False
418,True
419,False
420,False
421,False
422,False
423,True
424,True
425,True
426,False
427,False
428,False
429,True
430,False
431,False
432,False
433,True
434,True
435,False
436,False
437,True
438,False
439,False
440,False
441,False
442,False
443,False
444,False
445,False
446,False
447,False
448,False
449,False
450,False
451,False
452,False
453,False
454,False
455,False
456,True
457,False
458,False
459,False
460,False
461,False
