step,run_0,run_1,run_2,run_3
10000,False,False,False,False
20000,False,False,True,False
30000,True,False,False,False
40000,False,False,False,False
50000,False,True,False,False
60000,False,False,False,False
70000,False,False,False,False
80000,False,False,False,False
90000,False,False,False,False
100000,False,False,False,False
110000,False,False,False,False
120000,False,True,True,False
130000,True,False,False,True
140000,True,False,False,False
150000,False,False,False,False
160000,True,False,False,False
170000,False,False,False,False
180000,True,False,False,False
190000,True,False,False,False
200000,False,False,False,False
210000,False,False,False,True
220000,True,False,False,False
230000,False,False,False,False
240000,False,False,False,False
250000,False,False,False,False
260000,True,False,False,False
270000,False,False,False,False
280000,False,False,False,False
290000,False,False,False,False
300000,False,False,False,True
310000,False,False,False,False
320000,False,False,False,False
330000,False,False,False,False
340000,True,False,False,False
350000,False,False,False,False
360000,True,False,False,False
370000,True,True,False,True
380000,True,False,False,False
390000,False,False,False,False
400000,True,False,False,False
410000,True,False,False,True
420000,False,False,False,False
430000,True,False,False,False
440000,False,False,False,True
450000,False,False,False,False
460000,False,False,False,False
470000,True,True,False,False
480000,False,False,False,False
490000,False,True,False,False
