step,run_0
2048,-2.8493455171585085
4096,-2.860293174162507
6144,-2.862138684466481
8192,-2.8621875975281
10240,-2.8602184902876617
12288,-2.861147100478411
14336,-2.864323467388749
16384,-2.863113409280777
18432,-2.8627192832529547
20480,-2.8640849445015193
22528,-2.8612125616520645
24576,-2.8607415087521075
26624,-2.8593444976955653
28672,-2.8587129563093185
30720,-2.8561030607670546
32768,-2.855576280504465
34816,-2.852669282630086
36864,-2.847907508909702
38912,-2.844402992352843
40960,-2.8421080764383078
43008,-2.840262417495251
45056,-2.8357447884976863
47104,-2.8339198894798754
49152,-2.83264371342957
51200,-2.8311510737985373
53248,-2.8280462615191935
55296,-2.825730423256755
57344,-2.827228160202503
59392,-2.8264408841729165
61440,-2.8266115862876178
63488,-2.8264221116900443
65536,-2.8248814273625613
67584,-2.8235238984227182
69632,-2.8227166600525377
71680,-2.823651610314846
73728,-2.8243304137140512
75776,-2.825876985862851
77824,-2.825817742198706
79872,-2.824254556000233
81920,-2.8233764305710793
83968,-2.8219867274165154
86016,-2.820777502655983
88064,-2.8197029411792753
90112,-2.81616399101913
92160,-2.8140261355787515
94208,-2.812619512155652
96256,-2.811373862624168
98304,-2.8099675357341765
100352,-2.811199099197984
102400,-2.8107337459921835
104448,-2.808107413724065
106496,-2.8079921368509533
108544,-2.80752910412848
110592,-2.8073712788522243
112640,-2.8073454476892947
114688,-2.8067024856805802
116736,-2.8047713730484247
118784,-2.8033627301454542
120832,-2.803220186010003
122880,-2.8008708845824004
124928,-2.7971806932240724
126976,-2.7952595565468075
129024,-2.793197537586093
131072,-2.793553755804896
133120,-2.792857052013278
135168,-2.790018457919359
137216,-2.7860841933637857
139264,-2.7867633111774923
141312,-2.788750460743904
143360,-2.7872156374156476
145408,-2.7854832015931605
147456,-2.784453639015555
149504,-2.7854840118438005
151552,-2.7830853518098593
153600,-2.7817873056977986
155648,-2.7829618636518716
157696,-2.7828706461936235
159744,-2.78090995028615
161792,-2.780652092769742
163840,-2.7789885494858027
165888,-2.7786391668021677
167936,-2.7779999762773513
169984,-2.7786544650793075
172032,-2.775427996367216
174080,-2.776497698947787
176128,-2.7739877250045537
178176,-2.77347757704556
180224,-2.773870590701699
182272,-2.7752157486975193
184320,-2.7751730479300023
186368,-2.772663728892803
188416,-2.770247694849968
190464,-2.7699518352746964
192512,-2.7674718901515005
194560,-2.7655206292867662
196608,-2.765364828333259
198656,-2.7648377258330585
200704,-2.7640677243471146
202752,-2.7641051266342402
204800,-2.763050301745534
206848,-2.765817053616047
208896,-2.7649346366524696
210944,-2.766133275255561
212992,-2.764777824282646
215040,-2.7627344600856305
217088,-2.7611297249794005
219136,-2.759377783164382
221184,-2.759949216246605
223232,-2.7583168379962446
225280,-2.7557220716029405
227328,-2.755259943008423
229376,-2.753809878975153
231424,-2.7525477707386017
233472,-2.7498400837182997
235520,-2.7483820874243974
237568,-2.7468986488878726
239616,-2.744859184324741
241664,-2.743963437154889
243712,-2.7448385380208493
245760,-2.744157909229398
247808,-2.7434733852744104
249856,-2.7421335879713298
251904,-2.739099671691656
253952,-2.7381474908441303
256000,-2.739080797880888
