episode,run_0,run_1,run_2,run_3,run_4
0,True,True,True,True,True
1,True,True,True,True,True
2,True,True,True,True,True
3,True,True,True,True,True
4,True,True,True,True,True
5,True,True,True,True,True
6,True,True,True,True,True
7,True,True,True,True,True
8,True,True,True,True,True
9,True,True,True,True,True
10,True,True,True,True,True
11,True,True,True,True,True
12,True,True,True,True,True
13,True,True,True,True,True
14,True,True,True,True,True
15,True,True,True,True,True
16,True,True,True,True,True
17,True,True,True,True,True
18,True,True,True,True,True
19,True,True,True,True,True
20,True,True,True,True,True
21,True,True,True,True,True
22,True,True,True,True,True
23,True,True,True,True,True
24,True,True,True,True,True
25,True,True,True,True,True
26,True,True,True,True,True
27,True,True,True,True,True
28,True,True,True,True,True
29,True,True,True,True,True
30,True,True,True,True,True
31,True,True,True,True,True
32,True,True,True,True,True
33,True,True,True,True,True
34,True,True,True,True,True
35,True,True,True,True,True
36,True,True,True,True,True
37,True,True,True,True,True
38,True,True,True,True,True
39,True,True,True,True,True
40,True,True,True,True,True
41,True,True,True,True,True
42,True,True,True,True,True
43,True,True,True,True,True
44,True,True,True,True,True
45,True,True,True,True,True
46,True,True,True,True,True
47,True,True,True,True,True
48,True,True,True,True,True
49,True,True,True,True,True
50,True,True,True,True,True
51,True,True,True,True,True
52,True,True,True,True,True
53,True,True,True,True,True
54,True,True,True,True,True
55,True,True,True,True,True
56,True,True,True,True,True
57,True,True,True,True,True
58,True,True,True,True,True
59,True,True,True,True,True
60,True,True,True,True,True
61,True,True,True,True,True
62,True,True,True,True,True
63,True,True,True,True,True
64,True,True,True,True,True
65,True,True,True,True,True
66,True,True,True,True,True
67,True,True,True,True,True
68,True,True,True,True,True
69,True,True,True,True,True
70,True,True,True,True,True
71,True,True,True,True,True
72,True,True,True,True,True
73,True,True,True,True,True
74,True,True,True,True,True
75,True,True,True,True,True
76,True,True,True,True,True
77,True,True,True,True,True
78,True,True,True,True,True
79,True,True,True,True,True
80,True,True,True,True,True
81,True,True,True,True,True
82,True,True,True,True,True
83,True,True,True,True,True
84,True,True,True,True,True
85,True,True,True,True,True
86,True,True,True,True,True
87,True,True,True,True,True
88,True,True,True,True,True
89,True,True,True,False,True
90,True,True,True,False,True
91,True,True,True,True,True
92,True,True,True,True,True
93,False,True,True,True,True
94,False,False,False,True,True
95,False,False,True,False,True
96,True,True,True,True,True
97,False,True,True,True,True
98,False,True,True,False,True
99,True,False,True,True,True
100,False,True,True,False,True
101,True,False,True,False,True
102,True,True,True,False,True
103,False,True,True,False,False
104,True,False,True,False,True
105,False,True,True,False,True
106,True,True,True,False,True
107,True,True,True,False,True
108,False,False,True,False,True
109,False,False,False,False,True
110,False,False,True,False,True
111,False,False,True,False,True
112,True,True,True,True,True
113,True,False,True,True,False
114,False,False,False,False,True
115,False,False,True,False,True
116,False,False,True,False,False
117,False,False,True,False,False
118,True,False,True,False,False
119,True,False,True,False,False
120,True,False,False,False,False
121,False,True,False,False,False
122,True,True,True,False,False
123,False,False,False,False,False
124,False,True,True,False,False
125,False,False,False,True,False
126,False,False,False,False,False
127,False,False,True,True,False
128,False,False,False,True,False
129,False,False,False,True,False
130,False,False,False,True,False
131,False,False,False,False,False
132,False,True,True,True,False
133,False,False,True,True,False
134,True,False,True,True,False
135,True,False,True,True,True
136,True,False,True,True,True
137,True,False,True,False,True
138,True,True,True,False,True
139,False,False,False,True,True
140,True,False,True,True,True
141,True,False,True,False,False
142,False,True,True,False,False
143,True,True,False,False,True
144,False,False,True,False,False
145,True,True,True,False,False
146,False,False,False,True,True
147,True,False,True,True,False
148,False,True,True,False,False
149,True,True,False,False,False
150,False,True,False,True,False
151,False,False,False,True,False
152,False,False,False,True,False
153,False,True,True,True,False
154,False,False,True,True,False
155,True,False,True,True,False
